Occupation,Hydrogen Capabilities,Value Chain,Technology
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Nanotechnology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Storage,<not_included>
Renewable Interconnect Specialist,"Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Automation and Control Specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Corrosion specialist,"Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Measurement specialist,"Understanding electrochemical reactions, processes, and hydrogen production ; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Economic modelling specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Economist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Finance specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Communications and marketing specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Lawyer,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Safety and hazards specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production,<not_included>
Business developer,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production,<not_included>
Supply chain specialist,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production,<not_included>
Power-to-X technology specialist,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Hydrogen value chain e×pert,"Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Public relations specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Administration specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
IT specialist,Understanding hydrogen production process ; Knowledge of hydrogen gas value chains,Hydrogen Production,<not_included>
Sustainability specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Innovation specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding electrochemical reactions, processes, and hydrogen production ; Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Energy storage specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Energy transition specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Operation optimisation specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Technology commercialisation Specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Grid operation specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
BOP specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Land acquisition specialist,"Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Nanotechnology specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Artificial intelligence specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Cybersecurity specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Political scientist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Commissioning Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending; Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending; Maintenance of vessels, compressors, turbines, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Chemical Process Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Mechanical Technician,"Maintenance of vessels, compressors, turbines, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings to use with hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Maintenance Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending; Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending; Maintenance of vessels, compressors, turbines, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings to use with hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Refueling Techician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Utility Service Technician,"Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Instrumentation Technician,"Selection, calibration, and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Mechatronics Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Materials Technician,"Knowledge of appropriate materials, seals, and coatings to use with hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Electrochemical Technician,"Understanding combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation
Safety Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
System Integration Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending,Hydrogen End-Use Application,Hydrogen Power Generation
Operation Technician,"Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Renewable Energy Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Assembly Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending,Hydrogen End-Use Application,Hydrogen Power Generation
Manufacturing Production Technician,"Understanding combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Electrician,"Understanding combined cycle power generation using hydrogen blending; Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Reservoir Technoligist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Control Room Operator,"Understanding combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Well Completions Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Plant Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Utility Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Gas Fitter,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Fitter and Turner,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Chemical Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Civil Engineer,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Commissioning Engineer,"Understanding hydrogen compression processes; Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation associated with hydrogen fuelling systems; Process engineering and control skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection ; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Electrical Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Instrumentation Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Environmental Engineer,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Robotics and Automation Engineer,"Understanding hydrogen compression processes; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Facility Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Gas Engineer,"Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Grid Connection Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Industrial Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Mechatronics Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Mechanical Engineer,"Understanding hydrogen compression processes; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Process Engineer,"Understanding hydrogen compression processes; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Process Control Engineer,"Understanding hydrogen compression processes; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Safety Engineer,"Process engineering and control skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection ; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Production Engineer,"Understanding hydrogen compression processes; Experience and knowledge of hydrogen fuelling equipment, technology, and systems including on-site generation, compression, cooling systems, storage, and dispensing; Knowledge of fuelling standards for third-party certification of hydrogen product lines; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Cavern Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Drilling Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Pipeline Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Research and Development Engineer,"Understanding hydrogen compression processes; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Software Engineer,"Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Locomotive Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Welding Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Materials Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Systems Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Renewable Energy Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Refueling Station Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Understanding hydrogen compression processes; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Electrolysis Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Electrochemical Engineer,"Understanding cryogenic and gaseous hydrogen storage and delivery systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Fuel Cell Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Marine Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Hydraulic Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Design Engineer,"Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Quality Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Commissioning Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Chemical Process Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Mechanical Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Maintenance Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
