Skill_ID,Original Skill Statement,Breakdown Sequence Number,New Sub-Skill Statement,Assigned Taxonomy Location,Additional Notes/Comments,Highest Level Taxonony Cluster
96,Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity powered electrolyzer produced hydrogen,1,Knowledge of high-power electrical equipment in renewable electricity powered electrolyzers,21.1.1 Role of High-Voltage Power in Hydrogen Production,Focused on understanding the role and use of high-power electrical equipment in electrolyzers powered by renewable energy,21
96,Knowledge of interconnection applications for renewable electricity powered electrolyzers,2,Understanding interconnection applications in renewable energy powered electrolyzers,24.2.2 System-Level Integration,Focused on ensuring the proper integration of renewable electricity sources with electrolyzer systems,24
97,"Appropriate selection, design and maintenance of power generation equipment including compression, turbines and combustion, valves, fittings, piping systems etc. for hydrogen blending",1,Selection and design of compression systems for hydrogen blending,13.1.2 Compression Technologies,Focused on selecting and designing compression systems for use in hydrogen blending power generation,13
97,Selection and design of turbines for hydrogen blending power generation,2,Selection and design of turbines for hydrogen blending,25.3.2 Flame Stability and Burner Design,Focused on the specific requirements for turbines in hydrogen blending applications,25
97,Selection and design of combustion systems for hydrogen blending power generation,3,Selection and design of combustion systems for hydrogen blending,25.3.1 Combustion Characteristics of Hydrogen and Natural Gas,Related to designing combustion systems that can effectively use hydrogen as a fuel source,25
97,Selection and design of valves and fittings for hydrogen blending power generation,4,Selection and design of valves and fittings for hydrogen blending,6.3.1 Design Considerations for Hydrogen Pipelines,Focused on ensuring valves and fittings are suitable for hydrogen environments,6
97,Selection and design of piping systems for hydrogen blending power generation,5,Selection and design of piping systems for hydrogen blending,6.3.1 Design Considerations for Hydrogen Pipelines,Related to designing piping systems that can handle the specific demands of hydrogen blending,6
97,Maintenance of power generation equipment for hydrogen blending,6,"Maintenance of compression, turbines, combustion, and related systems for hydrogen blending",6.4.2 Operation and Maintenance,Focused on the upkeep and reliability of these systems under hydrogen blending conditions,6
98,"Appropriate selection, design and maintenance of hydrogen fuel tanks, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",1,Selection and design of hydrogen fuel tanks to withstand pressure and temperature variations,13.3.1 Types of Storage Vessels,Focused on selecting and designing fuel tanks that can handle hydrogen pressure and temperature extremes,13
98,Selection and design of piping systems and fittings for hydrogen fuel systems,2,Selection and design of piping systems and fittings for hydrogen,6.3.1 Design Considerations for Hydrogen Pipelines,"Focused on designing piping systems that can handle both high and low pressure, as well as hot and cold temperatures",6
98,Selection and design of valves and seals for hydrogen fuel systems,3,Selection and design of valves and seals to withstand hydrogen conditions,18.2.2 Material Durability Testing,Focused on ensuring valves and seals are durable under varying hydrogen conditions,18
98,"Maintenance of hydrogen fuel tanks, piping, valves, and seals",4,"Maintenance of fuel tanks, piping, valves, and seals in hydrogen systems",6.4.2 Operation and Maintenance,Focused on the upkeep and maintenance of these systems to ensure reliability under hydrogen conditions,6
99,Maintenance of equipment and systems involved in hydrogen production using PEM electrolyzer,1,Maintenance of PEM electrolyzers,16.3.1.1 Electrolyzers and Associated Systems,Focused on the upkeep and maintenance of PEM electrolyzers specifically,16
99,Maintenance of associated systems in PEM electrolyzer operations,2,Maintenance of systems supporting PEM electrolyzers,19.3.2 Risk Mitigation and Response,Focused on ensuring the reliability and safety of systems supporting PEM electrolyzers,19
99,Routine inspection and troubleshooting in PEM electrolyzer systems,3,Regular inspection and troubleshooting of PEM electrolyzer systems,19.2.2 Diagnostics and Troubleshooting,Related to the identification and resolution of issues in PEM electrolyzer systems,19
100,"Appropriate selection, design and maintenance of hydrogen compression, turbine systems and equipment",1,Selection and design of hydrogen compression systems,13.1.2 Compression Technologies,Focused on selecting and designing compression systems for hydrogen environments,13
100,Selection and design of turbine systems for hydrogen operations,2,Selection and design of turbines for hydrogen environments,25.3.2 Flame Stability and Burner Design,Focused on ensuring turbine systems are designed for the specific demands of hydrogen,25
100,Maintenance of hydrogen compression systems,3,Maintenance of hydrogen compression systems,19.3.2 Risk Mitigation and Response,Related to maintaining the safety and efficiency of hydrogen compression systems,19
100,Maintenance of turbine systems in hydrogen operations,4,Maintenance of turbines in hydrogen environments,25.4.1.1 Boiler and Turbine Adjustments,Focused on the upkeep and optimization of turbines for hydrogen applications,25
101,"Selection, calibration and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending",1,Selection of key instrumentation equipment for power generation using hydrogen blending,19.2.1 Real-Time Monitoring of Process Variables,Focused on selecting appropriate instrumentation for monitoring hydrogen blending in power generation,19
101,Calibration of instrumentation systems in hydrogen blending power generation,2,Calibration of instrumentation systems for hydrogen blending,19.3.2 Risk Mitigation and Response,Related to ensuring instrumentation is accurately calibrated for safe and efficient operation,19
101,Maintenance of instrumentation systems in hydrogen blending power generation,3,Maintenance of instrumentation in hydrogen blending power generation,19.2.2 Diagnostics and Troubleshooting,Focused on the maintenance and troubleshooting of instrumentation to ensure reliability in hydrogen blending operations,19
102,Knowledge of hydrogen value-chains,1,Understanding the hydrogen production value chain,16. Hydrogen Production Processes,Focused on the value chain related to hydrogen production processes,16
102,Knowledge of distribution and logistics in the hydrogen value chain,2,Understanding distribution and logistics in the hydrogen value chain,22. Logistical Management of Hydrogen Supply Chain,Focused on the distribution and supply chain aspects of hydrogen,22
102,Knowledge of hydrogen storage within the value chain,3,Understanding the role of storage in the hydrogen value chain,13.3 Storage of Compressed Hydrogen,Focused on storage as part of the value chain,13
102,Knowledge of end-use applications in the hydrogen value chain,4,Understanding end-use applications in the hydrogen value chain,26. Communicating Hydrogen's Role in Australia's Energy Mix,Related to the final application of hydrogen in various industries,26
103,"Knowledge of hydrogen production, distribution, and dispensing technology",1,Understanding of hydrogen production technology,16. Hydrogen Production Processes,Focused on the technologies used in hydrogen production,16
103,Knowledge of hydrogen distribution technology,2,Understanding of distribution technology for hydrogen,22. Logistical Management of Hydrogen Supply Chain,Related to the technologies involved in distributing hydrogen,22
103,Knowledge of hydrogen dispensing technology,3,Understanding of dispensing technology for hydrogen,3.2.2.1 Cryogenic Tanker Operation,Focused on the technologies used in dispensing hydrogen to end-users,3
104,Understanding of cryogenic and gaseous hydrogen storage and delivery systems,1,Understanding of cryogenic hydrogen storage systems,14. Hydrogen Liquefaction and Storage,Focused on the storage of hydrogen in liquid form,14
104,Understanding of gaseous hydrogen storage systems,2,Knowledge of gaseous hydrogen storage systems,13.3 Storage of Compressed Hydrogen,Focused on the storage of hydrogen in its gaseous form,13
104,Understanding of hydrogen delivery systems for cryogenic and gaseous hydrogen,3,Knowledge of delivery systems for cryogenic and gaseous hydrogen,3.2.2 Transportation of Cryogenic Hydrogen,Related to the systems used to deliver both cryogenic and gaseous hydrogen,3
105,Knowledge of key high power electrical equipment associated with electrolyzer produced hydrogen,1,Understanding of high-power electrical equipment in electrolyzer systems,21.1 Overview of High-Voltage Systems,Focused on the key electrical equipment needed for operating electrolyzers,21
105,Integration of high-power electrical equipment with electrolyzer systems,2,Knowledge of integrating high-power electrical equipment with electrolyzers,24.2.2 System-Level Integration,Related to the integration of electrical equipment into electrolyzer operations,24
105,Maintenance of high-power electrical equipment in electrolyzer hydrogen production,3,Maintenance of high-power electrical equipment in electrolyzer systems,21.5.3 Safety and Reliability of High-Voltage Systems in Hydrogen Production,Focused on the maintenance and safety of high-power electrical systems in electrolyzer operations,21
106,Understanding of combined-cycle power generation using hydrogen blending,1,Understanding of the combined-cycle power generation process using hydrogen blending,25.1 Fundamentals of Co-Firing with Hydrogen and Natural Gas,Focused on the overall process of using hydrogen in combined-cycle power generation,25
106,Knowledge of the role of hydrogen in combined-cycle power generation,2,Knowledge of hydrogen's role in combined-cycle power generation,25.3 Combustion Processes in Co-Firing,Focused on how hydrogen interacts within the combined-cycle power generation process,25
106,Understanding operational adjustments required for hydrogen blending in combined-cycle power systems,3,Knowledge of operational adjustments for hydrogen blending,25.4 Operational Adjustments for Co-Firing,Related to the specific operational changes needed for effective hydrogen blending in power generation,25
107,"Knowledge of environmental laws, regulations and practices pertaining to hydrogen and related infrastructure and operations",1,Knowledge of environmental laws related to hydrogen,5.2.2 Regulatory Frameworks,Focused on understanding the laws governing hydrogen infrastructure and operations,5
107,Knowledge of regulations specific to hydrogen infrastructure and operations,2,Understanding regulations for hydrogen infrastructure and operations,5.2.1 Impact of Government Policy,Focused on the regulatory impact on hydrogen projects and operations,5
107,Knowledge of environmental practices related to hydrogen operations,3,Understanding best environmental practices in hydrogen operations,26.2.1.1 Reduction of Greenhouse Gas Emissions,Related to implementing practices that align with environmental regulations and reduce impact,26
108,Knowledge of automated process systems and controls systems associated with power generation using hydrogen blending,1,Understanding of automated process systems in power generation using hydrogen blending,19.1.1 Understanding Control Logic for Hydrogen Processes,Focused on the control logic and automation in power generation using hydrogen blending,19
108,Knowledge of control systems specific to hydrogen blending in power generation,2,Knowledge of control systems for hydrogen blending in power generation,19.1.3 Optimization of Process Efficiency,Related to optimizing control systems for effective hydrogen blending in power generation,19
108,Integration of automated process systems in hydrogen blending power generation,3,Integration of automated systems in hydrogen blending power generation,24.2.2 System-Level Integration,Focused on ensuring seamless integration of automated processes in hydrogen blending operations,24
109,"Understanding of acceptance, compliance and materials testing required for hydrogen infrastructure",1,Understanding acceptance criteria for hydrogen infrastructure,5.2.2.3 Market Entry Barriers,Focused on the acceptance criteria necessary for hydrogen infrastructure projects,5
109,Knowledge of compliance testing for hydrogen infrastructure,2,Knowledge of compliance testing in hydrogen infrastructure,19.3.1.1 Adherence to Regulatory Requirements,Related to ensuring infrastructure meets regulatory standards,19
109,Understanding materials testing required for hydrogen infrastructure,3,Understanding materials testing protocols for hydrogen infrastructure,18.4.1 International Standards for Hydrogen Embrittlement Testing,Focused on testing materials to ensure they meet the necessary standards for hydrogen use,18
110,"Advanced knowledge of regulatory systems, standards and policy related to hydrogen",1,Advanced knowledge of regulatory systems governing hydrogen,5.2.2.1 National and International Standards,Focused on an in-depth understanding of regulatory systems at national and international levels,5
110,Advanced knowledge of standards applicable to hydrogen operations,2,In-depth knowledge of standards for hydrogen infrastructure and operations,5.2.2.2 Safety and Compliance Requirements,Focused on the standards necessary for safe and compliant hydrogen operations,5
110,Advanced understanding of policies related to hydrogen,3,Understanding advanced policy considerations for hydrogen,5.2.1.2 Environmental Regulations,Related to the policy framework guiding hydrogen development and implementation,5
111,Knowledge of material rules and welding processes and procedures compatible with hydrogen and hydrogen blending properties,1,Understanding material rules for compatibility with hydrogen,18.1 Molecular Interaction of Hydrogen with Materials,Focused on ensuring materials are compatible with hydrogen and hydrogen blending properties,18
111,Knowledge of welding processes compatible with hydrogen,2,Understanding welding processes that are compatible with hydrogen,18.2.2 Material Durability Testing,Focused on welding techniques that maintain material integrity under hydrogen conditions,18
111,Knowledge of procedures for welding in hydrogen environments,3,Understanding the procedures necessary for welding in hydrogen environments,6.3.2.1 Welding and Jointing Techniques,Related to the specific procedures required for safe and effective welding in hydrogen applications,6
112,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",1,Selection and design of electrolyzers to withstand hydrogen pressure and temperature variations,16.3.1.1 Electrolyzers and Associated Systems,Focused on selecting and designing electrolyzers for various hydrogen conditions,16
112,Selection and design of vessels for hydrogen pressure and temperature variations,2,Selection and design of vessels for high/low hydrogen pressure and hot/cold temperatures,13.3.1 Types of Storage Vessels,Focused on ensuring storage vessels can handle different hydrogen conditions,13
112,Selection and design of compressors for hydrogen environments,3,Selection and design of compressors to withstand hydrogen pressure and temperatures,13.1.2 Compression Technologies,Focused on selecting and designing compressors for various hydrogen conditions,13
112,Selection and design of piping systems and fittings for hydrogen conditions,4,Selection and design of piping systems and fittings for hydrogen conditions,6.3.1 Design Considerations for Hydrogen Pipelines,"Related to designing piping systems that handle both high and low pressure, as well as temperature extremes",6
112,Selection and design of valves and seals to withstand hydrogen pressure and temperatures,5,Selection and design of valves and seals for hydrogen conditions,18.2.2 Material Durability Testing,Related to ensuring valves and seals are durable under varying hydrogen conditions,18
112,"Maintenance of electrolyzers, vessels, compressors, piping systems, valves, and seals",6,Maintenance of key hydrogen systems to ensure reliability under varying conditions,6.4.2 Operation and Maintenance,Focused on the upkeep and maintenance of these systems to withstand hydrogen pressure and temperature variations,6
113,Appropriate selection and maintenance of compression and turbine systems and equipment to withstand hydrogen pressure,1,Selection of compression systems to withstand hydrogen pressure,13.1.2 Compression Technologies,Focused on selecting compression systems that can handle hydrogen pressure,13
113,Selection of turbine systems to withstand hydrogen pressure,2,Selection of turbines that are compatible with hydrogen pressure,25.3.2 Flame Stability and Burner Design,Focused on designing turbines that can operate safely under hydrogen pressure,25
113,Maintenance of compression systems in hydrogen environments,3,Maintenance of compression systems under hydrogen pressure,19.3.2 Risk Mitigation and Response,Focused on maintaining the integrity and functionality of compression systems,19
113,Maintenance of turbine systems in hydrogen environments,4,Maintenance of turbines to ensure reliability under hydrogen pressure,25.4.1.1 Boiler and Turbine Adjustments,Related to the maintenance and optimization of turbine systems for hydrogen applications,25
114,Optimise rectification arrangement for electrolyser plants,1,Optimization of rectification systems for electrolyzer plants,19.1.3 Optimization of Process Efficiency,Focused on optimizing the rectification process for improved efficiency in electrolyzer operations,19
114,Understanding of rectification technology used in electrolyzer plants,2,Knowledge of rectification technology for electrolyzer plants,16.3.1 Technological Requirements for Hydrogen Production,Related to the specific technologies involved in rectification within electrolyzer systems,16
114,Integration of optimized rectification systems in electrolyzer operations,3,Integration of optimized rectification systems in plant operations,24.2.2 System-Level Integration,Focused on integrating rectification systems within the broader electrolyzer operation for optimal performance,24
115,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes and assess impact to safety requirements",1,Staying informed about updates in hydrogen technology,26.5.2 Showcasing Successful Hydrogen Projects,Focused on keeping current with technological advancements related to hydrogen.,
115,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes and assess impact to safety requirements",2,"Keeping current with regulatory, standard, and code changes in the hydrogen sector",5.2.2 Regulatory Frameworks,Focused on monitoring changes in regulations and standards relevant to hydrogen.,
115,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes and assess impact to safety requirements",3,Assessing the impact of changes in technology and regulations on safety requirements,4.3.1 Safety Zone Identification,Focused on evaluating the impact of updated regulations and standards on safety protocols in hydrogen systems.,
116,Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures,1,Maintenance of mechanical systems under hydrogen pressure,6.4.2 Operation and Maintenance,Focused on ensuring mechanical systems are properly maintained to handle hydrogen pressure.,
116,Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures,2,Maintenance of mechanical systems to withstand temperature variations in hydrogen environments,13.3.3 Maintenance and Monitoring of Storage Systems,Focused on maintaining the integrity of mechanical equipment under varying temperature conditions associated with hydrogen.,
117,Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen,1,Selection of electrical equipment suitable for hydrogen environments,21.1.2 Key Components of High-Voltage Systems,Focused on selecting electrical equipment that is compatible with hydrogen usage and meets safety standards.,
117,Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen,2,Maintenance of electrical systems in hydrogen production and storage environments,6.4.2 Operation and Maintenance,Focused on ensuring ongoing maintenance of electrical systems to maintain functionality and safety in hydrogen applications.,
117,Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen,3,Calibration and testing of instrumentation systems for hydrogen processes,19.2 Monitoring Control Systems,Focused on ensuring that instrumentation systems are accurately calibrated and tested for safe operation in hydrogen processes.,
118,"Appropriate selection, design and maintenance of air separation units, vessels, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",1,Selection and design of air separation units for hydrogen pressure and temperature variations,16.3.1.1 Electrolyzers and Associated Systems,Focused on selecting and designing air separation units for various hydrogen conditions.,
118,"Appropriate selection, design and maintenance of air separation units, vessels, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",2,Selection and design of vessels for hydrogen pressure and temperature variations,13.3.1 Types of Storage Vessels,Focused on ensuring storage vessels can handle different hydrogen conditions.,
118,"Appropriate selection, design and maintenance of air separation units, vessels, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",3,Selection and design of piping systems and fittings for hydrogen conditions,6.3.1 Design Considerations for Hydrogen Pipelines,"Related to designing piping systems that handle both high and low pressure, as well as temperature extremes.",
118,"Appropriate selection, design and maintenance of air separation units, vessels, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",4,Selection and design of valves and seals to withstand hydrogen pressure and temperatures,18.2.2 Material Durability Testing,Related to ensuring valves and seals are durable under varying hydrogen conditions.,
118,"Appropriate selection, design and maintenance of air separation units, vessels, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",5,"Maintenance of air separation units, vessels, piping systems, valves, and seals",6.4.2 Operation and Maintenance,Focused on the upkeep and maintenance of these systems to withstand hydrogen pressure and temperature variations.,
119,Knowledge of key instrumentation and electrical equipment and systems associated with CO2 pipeline transmission including compression and/or liquefaction,1,Knowledge of instrumentation systems for CO2 pipeline transmission,19.2.1 Real-Time Monitoring of Process Variables,Focused on understanding instrumentation systems for monitoring CO2 pipeline transmission processes.,
119,Knowledge of key instrumentation and electrical equipment and systems associated with CO2 pipeline transmission including compression and/or liquefaction,2,Knowledge of electrical systems required for CO2 pipeline transmission,21.1.2 Key Components of High-Voltage Systems,Related to the understanding of electrical systems and their role in CO2 pipeline transmission.,
119,Knowledge of key instrumentation and electrical equipment and systems associated with CO2 pipeline transmission including compression and/or liquefaction,3,Knowledge of systems for CO2 compression and liquefaction,13.1.2 Compression Technologies,Focused on the knowledge of systems involved in CO2 compression and liquefaction for pipeline transmission.,
120,Understanding of properties and characteristics of CO2 in a liquid and gaseous state,1,Understanding the physical properties of CO2 in its gaseous state,1.1.2 Volumetric and Energy Density,Focused on understanding the characteristics of CO2 in its gaseous form.,
120,Understanding of properties and characteristics of CO2 in a liquid and gaseous state,2,Understanding the physical properties of CO2 in its liquid state,14.2.1 Physical and Chemical Properties at Cryogenic Temperatures,"Related to understanding CO2 properties in a liquid state, especially at low temperatures.",
120,Understanding of properties and characteristics of CO2 in a liquid and gaseous state,3,Knowledge of CO2 behavior in different states,3.2.1 Maintaining Hydrogen in Liquid Form,"Applied understanding of CO2 in relation to containment and stability, similar to maintaining hydrogen in different forms.",
121,Appropriate selection and maintenance of key electrical equipment and systems associated with carbon capture plant and technology,1,Selection of key electrical equipment for carbon capture technology,21.1.2 Key Components of High-Voltage Systems,Focused on selecting the appropriate high-voltage electrical components necessary for carbon capture technology.,
121,Appropriate selection and maintenance of key electrical equipment and systems associated with carbon capture plant and technology,2,Maintenance of electrical systems in carbon capture plants,21.3.3 Safety Protocols in Substation Operations,Related to maintaining and ensuring the safety of electrical systems within carbon capture plants.,
121,Appropriate selection and maintenance of key electrical equipment and systems associated with carbon capture plant and technology,3,Integration of electrical systems within carbon capture technology,24.3.2 System-Level Validation,Applied to the integration and validation of electrical systems within the overall carbon capture technology framework.,
122,"Appropriate selection of materials, coatings, seals, etc. for the maintenance of CO2 pump facility equipment and systems",1,Selection of materials for CO2 pump facility equipment,18.1.3 Hydrogen Interaction with Composite Materials,Focused on selecting materials that are compatible with CO2 and ensure durability in pump facility systems.,
122,"Appropriate selection of materials, coatings, seals, etc. for the maintenance of CO2 pump facility equipment and systems",2,Selection of coatings for corrosion protection in CO2 pump systems,18.3.1 Material Selection and Treatment,Applied to selecting appropriate coatings that protect CO2 pump facility equipment from corrosion.,
122,"Appropriate selection of materials, coatings, seals, etc. for the maintenance of CO2 pump facility equipment and systems",3,Selection of seals for CO2 pump systems to ensure system integrity,13.2.3 Interaction with Storage Materials,Related to choosing seals that maintain system integrity and prevent leaks in CO2 pump facilities.,
123,"Appropriate selection, design and maintenance vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",1,Selection and design of vessels to withstand hydrogen pressure and temperature variations,13.3.1 Types of Storage Vessels,Focused on ensuring storage vessels are selected and designed to handle various hydrogen conditions.,
123,"Appropriate selection, design and maintenance vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",2,Selection and design of compressors to handle hydrogen pressure and temperature extremes,13.1.2 Compression Technologies,Related to selecting and designing compressors for hydrogen environments.,
123,"Appropriate selection, design and maintenance vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",3,Selection and design of piping systems and fittings for hydrogen conditions,6.3.1 Design Considerations for Hydrogen Pipelines,Focused on designing piping systems to handle hydrogen pressure and temperature extremes.,
123,"Appropriate selection, design and maintenance vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",4,Selection and design of valves and seals to maintain integrity under hydrogen conditions,18.2.2 Material Durability Testing,Related to ensuring the durability of valves and seals in varying hydrogen conditions.,
123,"Appropriate selection, design and maintenance vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",5,"Maintenance of vessels, compressors, piping systems, valves, and seals to ensure reliability under hydrogen conditions",6.4.2 Operation and Maintenance,Focused on the ongoing maintenance of these systems to ensure they can withstand hydrogen pressure and temperature variations.,
124,Maintenance of equipment and systems involved in SMR and/or ATR hydrogen production,1,Maintenance of equipment in Steam Methane Reforming (SMR) hydrogen production,11.4.2 Energy Efficiency of the SMR Process,Focused on maintaining equipment to ensure efficiency and reliability in SMR hydrogen production.,
124,Maintenance of equipment and systems involved in SMR and/or ATR hydrogen production,2,Maintenance of equipment in Autothermal Reforming (ATR) hydrogen production,16.4.2 Regulatory Compliance in Hydrogen Production,Focused on ensuring equipment maintenance aligns with regulatory requirements in ATR hydrogen production.,
125,Understanding of SMR and/or ATR processes and hydrogen production,1,Understanding of Steam Methane Reforming (SMR) process for hydrogen production,11.1.1 Fundamentals of SMR Technology,Focused on the fundamental understanding of SMR technology in hydrogen production.,
125,Understanding of SMR and/or ATR processes and hydrogen production,2,Understanding of Autothermal Reforming (ATR) process for hydrogen production,16.1.3 Coal Gasification,"Although ATR is not exactly coal gasification, it falls under the broader category of hydrogen production processes, potentially a new sub-category could be created here for ATR.",
126,Understanding of properties and characteristics of CO2 in a gaseous state,1,Understanding of the properties of CO2 in a gaseous state,17.2.1 Heating Value of Gases,Focused on the physical and chemical properties of CO2 when in a gaseous state.,
126,Understanding of properties and characteristics of CO2 in a gaseous state,2,Understanding the behavior of CO2 under different conditions in a gaseous state,17.2.2 Calorific Value,"Related to how CO2 behaves under various conditions when in a gaseous state, particularly in heating or calorific contexts.",
127,Knowledge of automated process systems and controls systems for carbon capture,1,Understanding of automated process systems used in carbon capture,19.1.1 Understanding Control Logic for Hydrogen Processes,"Although this is specific to hydrogen processes, the same principles can be applied to carbon capture with potential adaptation.",
127,Knowledge of automated process systems and controls systems for carbon capture,2,Knowledge of control systems specific to carbon capture processes,19.1.2 Implementation of Safety Protocols,"Focused on the implementation and management of control systems, with an emphasis on safety protocols within carbon capture operations.",
128,Stay up to date on technology and options for CO2 storage and monitoring,1,Keep up-to-date with advancements in CO2 storage technology,13.3.3.2 Leak Detection and Prevention,Focused on ensuring that storage systems are equipped with the latest technology for CO2 containment and safety.,
128,Stay up to date on technology and options for CO2 storage and monitoring,2,Stay informed on CO2 monitoring techniques and options,19.2.1.1 Pressure and Temperature Monitoring,Relevant to monitoring processes within CO2 storage systems to ensure safety and efficiency.,
129,"CO2 properties, behaviour and potential hazards created",1,Understanding of CO2 properties and behavior in various states,1.1.1 Hydrogen's Forms and Structure,"Although originally focused on hydrogen, this category is adaptable to understanding the properties and behavior of CO2 as well.",
129,"CO2 properties, behaviour and potential hazards created",2,Identification of potential hazards related to CO2,1.3.2 Flammability and Explosive Risks,"Relevant to understanding the specific risks and hazards associated with CO2, though this may require adaptation from hydrogen-specific risks.",
130,Appropriate selection and maintenance of key instrumentation equipment and systems associated with carbon capture plant and technology,1,Selection of key instrumentation equipment for carbon capture technology,19.1.1.2 Integration with Process Sensors and Actuators,Adapted from hydrogen-related instrumentation systems to apply to carbon capture technology.,
130,Appropriate selection and maintenance of key instrumentation equipment and systems associated with carbon capture plant and technology,2,Maintenance of key instrumentation systems in carbon capture plants,19.3.1.2 Regular Safety Audits and Inspections,Focused on maintaining instrumentation systems to ensure safe and efficient operation of carbon capture technology.,
131,Understanding of CO2 compression processes,1,Understanding the principles of CO2 compression,13.1.1 Principles of Hydrogen Compression,"The category for hydrogen compression is adapted for CO2, focusing on the underlying principles.",
131,Understanding of CO2 compression processes,2,Application of CO2 compression techniques in industrial settings,13.1.2 Compression Technologies,"Applied taxonomy from hydrogen to CO2, focusing on the specific technologies used for CO2 compression.",
132,Knowledge of hydrogen gas value-chains,1,Understanding the components of hydrogen gas value-chains,5.1.2 Factors Influencing Market Supply,Focuses on the supply chain aspects within the hydrogen gas value chain.,
132,Knowledge of hydrogen gas value-chains,2,Analyzing the economic impact of hydrogen value-chains,5.3.1.2 Market Penetration Scenarios,Relates to the economic analysis and market dynamics within the hydrogen value chain.,
133,"Understanding of carbon capture, separation, purification and liquefication processes",1,Understanding carbon capture processes,26.3.1 Environmental Impact Considerations,Focuses on the environmental aspects of carbon capture.,
133,"Understanding of carbon capture, separation, purification and liquefication processes",2,Understanding separation and purification techniques in carbon capture,26.3.2 Safety and Health Considerations,Relates to the safety considerations involved in the purification and separation processes.,
133,"Understanding of carbon capture, separation, purification and liquefication processes",3,Understanding liquefaction processes in carbon capture,14.1.2 Liquefaction Technologies,Focuses on the technological aspects of liquefaction in carbon capture.,
134,"Appropriate selection, design and maintenance electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",1,Selection and design of electrolyzers to withstand hydrogen pressure and temperature variations,16.3.1.1 Electrolyzers and Associated Systems,Focused on selecting and designing electrolyzers for various hydrogen conditions.,
134,"Appropriate selection, design and maintenance electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",2,Selection and design of vessels for hydrogen pressure and temperature variations,13.3.1 Types of Storage Vessels,Focused on ensuring storage vessels can handle different hydrogen conditions.,
134,"Appropriate selection, design and maintenance electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",3,Selection and design of compressors for hydrogen environments,13.1.2 Compression Technologies,Focused on selecting and designing compressors for various hydrogen conditions.,
134,"Appropriate selection, design and maintenance electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",4,Selection and design of piping systems and fittings for hydrogen conditions,6.3.1 Design Considerations for Hydrogen Pipelines,"Related to designing piping systems that handle both high and low pressure, as well as temperature extremes.",
134,"Appropriate selection, design and maintenance electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",5,Selection and design of valves and seals to withstand hydrogen pressure and temperatures,18.2.2 Material Durability Testing,Related to ensuring valves and seals are durable under varying hydrogen conditions.,
134,"Appropriate selection, design and maintenance electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)",6,"Maintenance of electrolyzers, vessels, compressors, piping systems, valves, and seals",6.4.2 Operation and Maintenance,Focused on the upkeep and maintenance of these systems to withstand hydrogen pressure and temperature variations.,
135,"Knowledge of hydrogen properties, behaviour and potential hazards created",1,Understanding hydrogen's chemical properties,1.1 Chemical Properties of Hydrogen,Focused on understanding the fundamental chemical properties of hydrogen.,
